metal,ligand,base,solvent,leaving_group,substrate_type,temperature,time,catalyst_loading,steric_hindrance,electronic_effect,yield,success
Ni,XantPhos,Et3N,Toluene,Cl,vinyl,80.67034118932571,9.09611681324921,8.562363051784407,0.13662133144202881,0.4178219938202372,25.53431055297183,0
Ni,SPhos,K3PO4,THF,OTf,aryl,65.71159262801683,2.114066981027709,6.464996942012043,0.19427395351204224,-0.8581181660001447,16.635374325303435,0
Fe,SPhos,Et3N,Dioxane,OTf,heteroaryl,66.57873578886083,14.722163101915827,0.8414516010690498,0.46559801813246016,0.08528926941515325,32.13486947721849,0
Pd,XPhos,K3PO4,Toluene,Cl,heteroaryl,97.59576990376588,9.186327319512898,8.364755535982091,0.2715429158197419,0.9305036607815396,36.59764580087208,0
Fe,XantPhos,NaOH,DMF,OTf,heteroaryl,97.84445851270746,16.023457832960545,7.397867670365285,0.9758520794625346,0.03260069660239062,45.98947474311942,0
Ru,cataCXium,K3PO4,Dioxane,I,aryl,72.9033572031959,3.779205265578349,4.568987511931024,0.6884999007653664,-0.8836128089831128,18.791810174250067,0
Ni,PPh3,Et3N,Toluene,OTf,heteroaryl,66.57113030569042,6.023051936360761,9.378832974727242,0.6382705938433504,0.033392514853133326,12.008704022295749,0
Cu,dppf,Cs2CO3,DMF,I,vinyl,113.04922773250584,2.316656749854629,1.6026900848157042,0.04600264202175275,-0.9185423953620597,28.813387649214068,0
Fe,RuPhos,NaOtBu,DMF,I,heteroaryl,94.41311125817826,12.416378957172444,2.145417764145144,0.43385164923797304,-0.20299053120525312,77.7742379247165,1
Ni,XPhos,Et3N,Toluene,I,vinyl,95.21953810060614,20.84277650614309,6.757589500379978,0.1629344270814297,-0.8588625051991403,78.51156756515036,1
Ni,PPh3,NaOtBu,DMF,OTf,vinyl,116.06645062776798,16.8977035324256,5.9469868958833665,0.12850035323391018,0.622408353472006,77.53022594825978,1
Pd,PPh3,DBU,Toluene,Cl,aryl,64.85529106126158,4.217116030303386,0.6731073436897224,0.0944429607559284,0.3660135468327137,15.326454567811476,0
Pd,JohnPhos,DBU,THF,I,heteroaryl,61.62903550150781,19.91830661695659,3.1776203603472992,0.11816482762165625,0.3934743307283013,82.05352846603327,1
Fe,P(o-tol)3,NaOH,THF,Br,heteroaryl,89.6429659615683,14.507446242499084,5.971283464951804,0.7316477552996402,-0.7446205411550688,53.135262105816615,1
Pd,dppf,DBU,DMF,Cl,heteroaryl,99.33066845006415,7.249130915387484,6.958525409052335,0.7399087604473745,-0.5235276951920411,34.9520421075812,0
Fe,P(o-tol)3,KOH,THF,Cl,vinyl,87.24411751139142,2.238428332566564,9.101128775983005,0.09128667678613356,-0.36137272481917027,0.5199064093687884,0
Fe,SPhos,K3PO4,Dioxane,OTf,aryl,66.41929030809368,15.253700369824617,5.760178997285107,0.21272789502422895,0.8923890857633805,78.91123252814471,1
Cu,JohnPhos,K3PO4,Dioxane,I,vinyl,63.910980827414505,18.214782249402194,5.686199816567395,0.7058314838786945,0.9373038879482698,56.52308826974755,1
Pd,JohnPhos,K3PO4,DMF,Br,aryl,118.69365346347895,11.374012451032705,2.61447596692479,0.39665160195425186,0.7837938175535533,59.980512442756286,1
Ru,BINAP,DBU,THF,Br,heteroaryl,116.89596970802518,22.83946870244489,9.867010106317274,0.7533781852589416,-0.24748082893816847,31.629965226314226,0
Ru,cataCXium,KOH,Dioxane,Cl,heteroaryl,123.44480695663151,4.44634461073533,5.179938490763162,0.011353644767419069,-0.06267871601174746,37.02591612708236,0
Pd,SPhos,NaOH,DMF,I,aryl,86.24094056665928,8.285665898200936,8.751691717799872,0.22359583851945264,0.9264450788812226,42.307030090333676,0
Fe,RuPhos,DBU,Toluene,Br,vinyl,124.33810006950615,7.5657836957633045,7.106405669513151,0.07543454708976927,-0.6675691361814942,29.843496647545216,0
Pd,RuPhos,KOH,Toluene,Cl,vinyl,63.18124662390205,8.181190171029067,9.528909098727308,0.8902637838909163,-0.08868649442857413,14.496626766453126,0
Fe,RuPhos,DBU,Toluene,OTf,heteroaryl,87.17878687929105,7.046684405508893,3.02641028716027,0.36034509520526825,-0.4801002742914746,48.389508135222,0
Pd,PPh3,NaOH,DMF,Br,aryl,69.32295876566248,3.676408351181589,9.435052357786143,0.4166390577384792,0.16232524236165258,14.599203147669098,0
Pd,PCy3,K3PO4,DMF,I,heteroaryl,98.6111510780849,5.626353745014021,4.406923607561006,0.7776022837352256,-0.03925983626729068,37.225006838598226,0
Ru,tBu3P,K2CO3,THF,Br,heteroaryl,62.5775307345194,4.94474661361393,0.6298836658564742,0.07535906035246231,0.38342879433782406,18.125456844958045,0
Cu,RuPhos,KOH,Dioxane,Br,vinyl,113.82911906263573,22.784846057413418,8.57165021143541,0.24734810174319766,-0.09891172937981296,51.951613973549385,1
Pd,BINAP,DBU,Toluene,OTf,vinyl,67.94903145397403,16.77461030304159,5.442923158586036,0.7723183917356393,0.040327002223986774,60.11972423981427,1
Fe,PPh3,KOH,DMF,Br,heteroaryl,121.36575218608415,10.876623056672734,1.773144670281087,0.028782676313338973,0.510274511347238,53.9601658175823,1
Ru,dppf,KOH,DMF,OTf,heteroaryl,84.54112911646179,14.978189110801928,4.226318428447457,0.43747492202372906,0.8083173889874968,68.95453592477891,1
Fe,P(o-tol)3,KOH,THF,OTf,vinyl,87.75799476248892,15.685907405013216,8.69245523309408,0.9495206236576421,-0.7058530381419241,34.915235286035845,0
Fe,XPhos,DBU,THF,I,heteroaryl,94.48326657950088,9.232535426325182,6.517308116008895,0.24014561877819307,-0.8482733437826722,54.826573038111235,1
Pd,dppf,Et3N,DMF,Cl,vinyl,69.7179020854587,16.099244385670723,2.2278608017918757,0.3456672833238632,0.7935768198120237,72.66759051855098,1
Ni,JohnPhos,Cs2CO3,Dioxane,Br,aryl,84.15578394756707,9.647622718619036,0.8021444741090688,0.5487153092074086,0.06884700746504602,22.30227681771786,0
Fe,JohnPhos,KOH,Toluene,Br,heteroaryl,83.10696593171087,9.074820822960639,1.3767605691730878,0.4811453940562932,0.37556943419216604,35.6874030575362,0
Cu,PPh3,K3PO4,DMF,Br,aryl,101.80946575788013,23.697653909069935,5.597611136879659,0.9240417591074331,-0.5277669337651913,51.552740479835855,1
Fe,dppf,KOH,DMF,I,aryl,64.3638953757869,5.250260021936987,1.7646108215810434,0.6871655054033311,0.6888813452672575,32.30186898180278,0
Ru,P(o-tol)3,Et3N,THF,OTf,heteroaryl,99.47755644131854,20.495619689314484,1.3474411227645338,0.5353355640155235,-0.5335671769003976,50.22609343004551,1
Cu,XPhos,K2CO3,DMF,I,vinyl,105.41759882041032,12.550806238593504,6.049895104784608,0.7368224753949129,0.11548453190087482,64.53255381506902,1
Ni,P(o-tol)3,NaOH,Toluene,OTf,heteroaryl,102.5288655605501,7.375769420222399,5.233353129564931,0.330348481280914,0.8673836475197492,66.55346455634832,1
Cu,XantPhos,NaOH,Toluene,I,vinyl,94.14668605661166,20.717985392395217,1.3349324331313668,0.8058648867411434,-0.8886930212860493,38.73316693665946,0
Pd,BINAP,KOH,Dioxane,I,aryl,110.29200895855875,13.770808104988031,5.027885099200914,0.8385825587026248,-0.5898448797010818,55.16527179549469,1
Ni,XantPhos,NaOtBu,Dioxane,OTf,aryl,111.53730285889418,13.656480509984567,7.218685908622223,0.7677795014428388,-0.8254196408206491,51.87882949015272,1
Cu,tBu3P,Cs2CO3,THF,I,heteroaryl,91.79875805533698,14.06926859463937,5.714758808945284,0.20173046233023584,0.36914309575966664,64.67698975051854,1
Fe,PPh3,Et3N,THF,Br,aryl,68.1687244899177,12.409656423141628,6.257967870030467,0.7942894499664624,-0.7866014997731279,44.46272018397018,0
Ni,RuPhos,DBU,Dioxane,Br,heteroaryl,72.68631463159622,3.462917882069105,7.540646168255561,0.5744731131799119,0.6836575535165441,23.192614222192542,0
Ru,P(o-tol)3,NaOH,Toluene,OTf,heteroaryl,117.7592873684958,6.10090970933917,2.739071587617498,0.6337585637201772,0.8157322609250319,48.79513667354306,0
Ni,BINAP,DBU,Dioxane,OTf,heteroaryl,122.97672117045212,15.730233972000427,5.627920088189014,0.43874467538833906,0.1549725418122514,54.0104240664471,1
Pd,PPh3,Et3N,Dioxane,I,heteroaryl,64.66333786735719,7.038558600345519,5.657068450827385,0.4315281431364426,-0.33436842817503143,39.342622249547546,0
Fe,PPh3,NaOtBu,Toluene,Cl,vinyl,115.20180478571714,5.3368473541205255,3.4613596440577084,0.24848913981446574,0.48789258514535394,35.65549061126371,0
Fe,XantPhos,K3PO4,Toluene,Br,vinyl,112.82447043020815,4.26415267637119,5.59657283910365,0.3788215655569157,-0.08599956143664333,26.402428168942414,0
Cu,XPhos,NaOtBu,THF,I,vinyl,104.8803343019708,17.2668657782762,5.655882211802163,0.25179905890695276,-0.3086080129921611,91.07514067594107,1
Ru,JohnPhos,DBU,Toluene,I,vinyl,92.34040625508928,22.840233471459936,1.9568383296027618,0.5862298320167972,0.011777357768931962,69.45428501363747,1
Fe,tBu3P,NaOtBu,DMF,OTf,aryl,124.5749566824107,17.559249954894767,1.9491209076854827,0.5762883601668132,0.2134300927657118,57.8725958066995,1
Ru,BINAP,K2CO3,Toluene,Cl,vinyl,68.59675472920136,7.189932761091786,2.072444848489253,0.18632087949412068,0.6749815780049842,34.2638948768721,0
Ru,BINAP,Et3N,THF,Cl,aryl,112.09747562903021,6.5227557842640245,7.984003942787678,0.603721531730139,-0.7714653998886245,22.201529280567456,0
Fe,P(o-tol)3,K3PO4,Dioxane,I,heteroaryl,92.59900856231693,12.578413517959618,9.22531988692336,0.5870682241365672,-0.9343066595131233,32.08297764392084,0
Pd,dppf,NaOtBu,Toluene,Br,aryl,85.36757293816432,14.772943706116957,6.506510735235539,0.013094456588333636,0.3270747440334212,81.05145858710866,1
Pd,XPhos,K2CO3,THF,OTf,heteroaryl,120.24424125235137,13.77153381654049,2.252397278479133,0.29959591176647704,-0.3801261474627782,55.15274765560389,1
Ru,PPh3,NaOH,THF,I,vinyl,64.59960475998467,19.06160756729023,4.8062439301062625,0.52439026932758,-0.11847450612354371,44.14623416796721,0
Ni,XantPhos,Cs2CO3,Dioxane,OTf,aryl,83.40539679173375,3.661074003685563,7.655839097100783,0.27230185472029944,0.7948608196377684,33.63366077461888,0
Fe,PCy3,Et3N,THF,OTf,aryl,98.62058166815379,7.585548408952694,2.3630744470878016,0.5055078791060338,0.19009795940084118,45.31884200907277,0
Pd,RuPhos,Cs2CO3,Dioxane,Br,vinyl,110.45691674173545,19.716929281873913,9.892923428576706,0.6031974021769796,0.613700297925172,37.69230909089379,0
Ni,dppf,K3PO4,Dioxane,Br,vinyl,119.36896668268184,4.701091572579587,8.826218720815291,0.6429255636142532,0.4078922702770189,15.738414659184663,0
Pd,RuPhos,NaOtBu,Dioxane,I,vinyl,86.57846857170868,14.98648873532577,3.0466045878173245,0.624148907849134,-0.18117669561751915,70.41597806829306,1
Fe,SPhos,NaOtBu,Toluene,I,aryl,120.79275831285389,12.7234863614893,8.998246155493868,0.7998552559473152,-0.1495729910615331,38.01578475071534,0
Ru,PPh3,KOH,THF,OTf,heteroaryl,104.34347538783031,7.67352907953045,1.8238827036918293,0.8349302367992991,0.9688043614071042,38.442258960731074,0
Cu,tBu3P,KOH,Toluene,OTf,aryl,117.05380998817199,12.957996577242126,1.1381662991992458,0.40524808802768875,-0.005070212040218847,41.92601148263256,0
Fe,dppf,NaOH,Toluene,I,aryl,78.45786618442315,7.862964654159409,7.455753495361092,0.25073066056159776,0.2661961267148951,60.44013870842825,1
Pd,JohnPhos,NaOH,DMF,I,heteroaryl,89.54252416854811,9.785170284347487,9.606958184475594,0.1843709206789632,-0.8193260788447843,34.565432970092836,0
Ru,JohnPhos,NaOH,THF,Cl,vinyl,84.89709015254644,17.819009914053403,3.3226562984201626,0.5664046402968972,-0.04789919560180067,57.17582010866515,1
Cu,BINAP,K2CO3,Toluene,OTf,vinyl,78.35848310098775,15.091714475405606,0.9885452281003784,0.49636624720123634,0.19368569783377843,27.68577232950723,0
Ni,P(o-tol)3,K3PO4,Toluene,Br,aryl,65.25964472150662,18.020152636479274,5.207167503958885,0.688402396427736,-0.13034532279250755,55.86503762472624,1
Cu,cataCXium,NaOtBu,Dioxane,I,heteroaryl,101.3161466808361,9.941425732680589,1.3700296966030243,0.9173135754622428,-0.7263627381620772,28.259521107647917,0
Ni,P(o-tol)3,Et3N,THF,Cl,heteroaryl,127.07195551027513,18.68463310680499,6.570019160675487,0.7590358455388498,0.44820665854627717,43.63453063156985,0
Ni,P(o-tol)3,NaOtBu,Dioxane,Cl,heteroaryl,63.6117064661097,16.738184220100862,0.9195716582459517,0.588263756969931,0.9987069991316697,27.30798023120654,0
Ni,RuPhos,KOH,Toluene,Cl,heteroaryl,68.43658051505251,18.082520772082194,2.329690763963489,0.11528202124728437,-0.15647468053897495,67.86205392689666,1
Fe,dppf,Cs2CO3,Toluene,Cl,heteroaryl,105.11826554380755,16.303681709751018,3.964623869844406,0.560677194003514,-0.03787623231182713,56.17127794382943,1
Ru,RuPhos,Cs2CO3,DMF,I,vinyl,88.31398147772956,14.593410707536245,8.137781304308527,0.5384014903807876,0.323310350161083,48.432261168964146,0
Cu,JohnPhos,NaOtBu,Toluene,I,vinyl,92.33599954029114,23.787508893519096,0.5022564739709034,0.18547290957672247,-0.23207222016054851,27.09642406057101,0
Ru,tBu3P,Et3N,Toluene,OTf,aryl,113.70318022517888,10.842480099403328,5.058818392887134,0.6275054632183701,0.7473542283726775,57.6030398744165,1
Cu,PPh3,KOH,THF,Cl,aryl,84.82355103485436,8.319257816389797,3.314927144331906,0.23360775104990994,-0.9158136207272762,25.132444106301143,0
Pd,RuPhos,KOH,Dioxane,Br,vinyl,86.90286530117771,16.952240219247535,2.5734119347181097,0.9499611839502253,0.5726900288311041,72.51409522129461,1
Ru,PCy3,K2CO3,Dioxane,OTf,vinyl,88.11061654978413,20.432166176231398,2.6904073601476806,0.8306425177506246,-0.7593224759300081,51.308792358514125,1
Ru,PCy3,K2CO3,Toluene,Br,aryl,127.0089184088328,20.176525307467248,8.107312027733812,0.6297779229961531,-0.567351953926893,54.86767861555969,1
Pd,tBu3P,K3PO4,Dioxane,I,heteroaryl,108.72144326376545,5.385709939476811,8.250414687410869,0.22444057183666066,-0.5523647703547538,30.420545566708277,0
Pd,P(o-tol)3,NaOtBu,Toluene,Br,heteroaryl,92.02024684415952,10.605734853768356,3.093114061134992,0.4766768283303684,-0.9112466729335265,62.677216238536126,1
Ru,tBu3P,K3PO4,DMF,OTf,vinyl,60.355749787261814,17.3057144426945,0.9634440258951444,0.5326025194007621,0.9242439451840996,29.414786725123385,0
Cu,cataCXium,NaOH,THF,Br,heteroaryl,94.6602568909782,12.572904701186257,6.127873954265417,0.8246809659251492,-0.3043815841956139,44.779133693013485,0
Cu,PPh3,KOH,DMF,Cl,aryl,71.01384617917682,5.5288023172615866,3.67308434807976,0.2386900313010175,0.8601807010194773,39.14952119039311,0
Fe,tBu3P,KOH,DMF,Cl,aryl,121.66095314392498,21.180557610395105,0.7778491888283119,0.8258167505647627,-0.7422602650531096,23.179041791523154,0
Ni,XPhos,K3PO4,Toluene,Br,aryl,78.10818314885356,6.248923020920447,1.2989331324458542,0.32643357650329297,0.11968862461765895,26.013934056086583,0
Ni,cataCXium,DBU,DMF,Br,vinyl,68.99141026652339,8.233544861842795,0.675063328013066,0.4322407838925123,0.6802430054824375,10.392250293055865,0
Cu,XantPhos,NaOtBu,DMF,OTf,heteroaryl,126.31085217794366,5.660306912509991,7.824350779055288,0.7085720046026294,-0.05285222312982296,27.720478535902352,0
Ni,BINAP,Cs2CO3,Toluene,I,heteroaryl,128.14422784241776,23.315312816285214,7.621692401557785,0.13008624013063197,0.5165263918580452,61.5349299656887,1
Ru,tBu3P,K3PO4,Dioxane,I,heteroaryl,79.15386663971661,23.936739003469647,4.548722371241743,0.4513870243296755,-0.6727523576166616,53.71222720278267,1
Cu,tBu3P,NaOtBu,DMF,I,vinyl,107.63495114522992,16.399246714184976,3.0959655064829885,0.9508635622504104,-0.6978842164381995,64.17421644859112,1
Cu,tBu3P,NaOtBu,Toluene,Cl,aryl,90.96091336666372,8.86294379089287,3.547056034162211,0.724422672614117,0.4916740240619286,39.99654761622539,0
Ru,PPh3,K2CO3,DMF,OTf,heteroaryl,120.50507748877459,12.410617947214257,9.697837565189857,0.18552551570312115,0.7372463359112216,42.90941317042614,0
Ni,XPhos,Et3N,Dioxane,Br,aryl,123.82852244719378,23.28524779950311,2.2618593094282162,0.46209729076566064,-0.9975363296671482,67.66896964082986,1
Pd,cataCXium,NaOtBu,DMF,Br,heteroaryl,75.78780997106148,5.538160319720181,6.689434934621515,0.3259254639520749,0.1805278777712449,39.727323051921786,0
Pd,BINAP,NaOH,Toluene,I,heteroaryl,93.59571843019864,15.200452058624682,3.2707944977383807,0.6949818861265425,0.7202447943784092,77.1327051258471,1
Pd,BINAP,Cs2CO3,Toluene,Cl,aryl,76.94315111037693,23.706577051877222,1.8537076575643756,0.49888815345135606,0.2363114686362382,74.24926900496091,1
Ni,cataCXium,K2CO3,Toluene,Br,aryl,121.777344007372,3.815187757689268,8.332883445519922,0.35780135092827137,-0.3558105955613293,28.0629988564316,0
Ni,JohnPhos,K3PO4,Dioxane,I,heteroaryl,71.72378075813488,4.300492487356806,6.546087370664549,0.7064757264869012,-0.9368277103487159,30.64028239310079,0
Ni,cataCXium,KOH,DMF,I,vinyl,117.03775796225585,3.762526620462853,9.000758232575013,0.5475923761537362,0.6345955399249874,21.113235025500817,0
Ni,SPhos,Et3N,THF,OTf,heteroaryl,90.70250515426768,17.94618431722928,6.136147158946698,0.6502941858734539,-0.04144214284742542,55.904107393143434,1
Fe,BINAP,NaOH,Dioxane,Br,vinyl,63.05631603951528,5.556795971229659,0.698180823269612,0.6532630192373301,-0.33537074928978217,17.794598951666273,0
Pd,tBu3P,Cs2CO3,DMF,I,vinyl,107.61597697019039,3.5883649975418686,0.7911987709551576,0.2576828885112137,-0.07475408652136739,15.191612705366033,0
Cu,BINAP,NaOtBu,THF,OTf,heteroaryl,129.13546946152405,2.8824022110746146,8.73679921316326,0.5786754085723934,-0.12276916162081908,19.420305730620264,0
Cu,PCy3,DBU,DMF,I,vinyl,123.0491304807881,11.27786039121602,3.12986407373299,0.5923503285933622,0.8247266912333819,73.71430257824974,1
Cu,PPh3,Cs2CO3,Toluene,OTf,heteroaryl,72.57781762091693,7.225953148325308,9.728253393395576,0.18097695270948977,0.7087701867391583,15.148379950220498,0
Cu,P(o-tol)3,KOH,Toluene,OTf,aryl,91.17136785018658,13.325981786453184,3.912717009297774,0.5929508514349274,-0.6729522548299545,47.95032558243462,0
Ni,SPhos,NaOH,THF,Cl,aryl,114.14311879806205,4.879220535803697,9.713299928246174,0.45378954138363925,-0.5278990733070721,18.485167241277328,0
Ru,XantPhos,KOH,DMF,I,aryl,83.59022235019003,20.235434049417407,4.593431474787156,0.2487142725876299,0.2342899732080601,69.84588925151563,1
Fe,cataCXium,K2CO3,Dioxane,Br,vinyl,106.46631693352636,12.441879266495906,8.519619265207373,0.8056701529500532,0.1707087287935043,34.88592041433609,0
Fe,tBu3P,NaOH,DMF,I,heteroaryl,63.99607992625204,13.685729616022705,9.397754076802133,0.03934354066850965,-0.7557801719799464,43.57332101625994,0
Cu,PPh3,K2CO3,Dioxane,I,heteroaryl,87.81652919250807,12.55773579502561,7.016693491838349,0.017379790185479638,-0.3537386858594429,44.220745892304166,0
Cu,P(o-tol)3,Et3N,Dioxane,OTf,vinyl,96.52110326453493,9.538376738660137,5.556327393849841,0.12574151180664883,-0.7345706923614452,41.07083199719956,0
Cu,PPh3,Et3N,DMF,Br,heteroaryl,120.76995780642537,5.89729536784249,7.079946546148563,0.8381152896481102,0.8892284389480465,33.0880096586062,0
Ni,PCy3,K3PO4,THF,I,vinyl,99.94268226471809,2.6685153133304107,9.344012607316289,0.6895267510315611,0.353026771554493,18.01327010309009,0
Cu,RuPhos,K2CO3,Toluene,I,heteroaryl,129.95896080394664,3.0606648549322326,9.783154750102515,0.4069079607228706,0.7415069006745183,10.441578933301088,0
Pd,RuPhos,NaOH,Dioxane,Br,vinyl,121.49608929109435,10.891087076322725,3.6068150348507677,0.6675933855635847,0.6156918838825172,55.04098923616387,1
Ru,tBu3P,K2CO3,DMF,I,heteroaryl,105.43522611560752,9.224387013471784,6.48698310912687,0.6098318054986945,0.1268778546969176,55.83637372177135,1
Ru,cataCXium,NaOH,THF,Br,aryl,98.19808219468314,11.777227960526433,0.6393370419395061,0.587061707701151,-0.6631112297145607,24.57994473720098,0
Pd,SPhos,NaOH,Toluene,OTf,heteroaryl,93.54273143408116,2.564125447741585,3.7418543624484855,0.38019561878585706,-0.20235443820619903,29.052146926410884,0
Cu,cataCXium,NaOtBu,Dioxane,Cl,vinyl,116.90900171012655,17.79870767698288,9.57747511157188,0.01823258267636163,-0.6084440286329078,42.283288711838864,0
Ru,SPhos,Et3N,DMF,Br,aryl,84.61358810677442,4.231258225882764,5.115781712270094,0.25677656772050794,-0.43025419607615434,30.924907557032896,0
Ru,cataCXium,Cs2CO3,DMF,OTf,heteroaryl,102.72336483176429,17.75531483291026,3.0899280069685706,0.4135491015253515,-0.7562278133261049,80.02440109664873,1
Ni,dppf,NaOH,Dioxane,Cl,vinyl,67.48138461663207,14.480868831835878,2.9373464451629556,0.9629268752375798,-0.03290870656015055,38.276038480922836,0
Pd,cataCXium,DBU,THF,I,vinyl,126.598233954466,15.235460043219286,8.282294164554507,0.8842064633484078,-0.543840456102135,34.557405678251875,0
Ni,P(o-tol)3,NaOH,Toluene,OTf,aryl,76.58093912821374,19.17156133536496,3.110657337707293,0.8226143185136784,-0.15252349270247434,47.84325696671858,0
Ni,P(o-tol)3,K3PO4,Dioxane,OTf,heteroaryl,91.62373751160604,14.90538618986043,2.0961349735762025,0.7368737449441821,0.7255941550864571,69.93389489797742,1
Cu,SPhos,NaOtBu,Dioxane,OTf,vinyl,76.23629672811828,10.599931909921322,6.147525184268644,0.4967668588591694,0.9755710404297746,47.47118088706023,0
Ru,dppf,NaOH,Toluene,Cl,heteroaryl,89.97397304479304,17.787150844479875,7.078143437581511,0.9912559937021883,-0.7432114210917495,35.466694959400535,0
Ni,dppf,NaOH,Toluene,OTf,aryl,122.59336122648827,6.221081143812344,3.5720298400974473,0.22665640222698802,-0.2900073883361254,37.92338072759364,0
Fe,PPh3,NaOtBu,Toluene,OTf,aryl,64.8952123996604,16.083700924219656,3.0759006467517556,0.5928119916534227,0.36026386220690276,64.19925701241722,1
Ni,dppf,NaOtBu,Toluene,I,aryl,129.683634349298,11.819751726348127,3.668910719985904,0.5804750067166746,-0.8224652117844631,42.81962513109199,0
Cu,P(o-tol)3,Et3N,DMF,I,heteroaryl,89.58823793773327,20.07974176582391,0.5117484577143897,0.30085310835325507,0.9624727486886078,5.559221619315764,0
Fe,SPhos,DBU,Toluene,Br,aryl,118.94233060634949,13.461075499984927,6.424064036026217,0.08912443211601662,0.5105408409936159,52.76519936311162,1
Pd,RuPhos,DBU,DMF,I,heteroaryl,64.41763231554052,4.5882786264182895,2.6598943509129382,0.34167450189692083,-0.23818094897802555,27.94654326138052,0
Pd,tBu3P,Cs2CO3,DMF,I,vinyl,125.96709133715632,21.213406557924653,2.036760007845041,0.7862759567570945,0.14917476463553325,57.34472108462246,1
